Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
OrderItem,OrderItem,Billing Schedule,Billing_Schedule__c,Picklist,Identifies Order Item Billing Schedule,QuoteLineItem.Billing Schedule,QuoteLineItem.Billing_Schedule__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Start Date,ServiceDate,Date,Identifies Order Item's Start Date,,,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,End Date,EndDate,Date,Identifies Order Item's End Date,,,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Order Product Description,Order_Product_Description__c,Long Text Area,Contains longer version of Product Description,QuoteLineItem.Detailed Line Description,QuoteLineItem.Detailed_Line_Description__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Activated,Activated__c,Checkbox,Identies if Order Item has been Activated,,,If OrderItem.Status__c = Activated then this EQUALS TRUE,Record Creation Only,,,,,,
OrderItem,OrderItem,Contract,Contract__c,Lookup(Contract),Links Order to Contract,Contract.Number,Contract.Id,"If Order is Activated, this should be updated to show the related Contract",Record Update Only,,,,,,
OrderItem,OrderItem,Contracted,Contracted__c,Checkbox,shows that Order has been Contracted,Contract.Number,Contract.Id,"If Order is Activated, this should be updated to TRUE",Record Update Only,,,,,,
OrderItem,OrderItem,Do Not Sync,Do_Not_Sync__c,Checkbox,Identifies Order Item if it should sync to NetSuite,QuoteLineItem.Do Not Sync,QuoteLineItem.Do_Not_Sync__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Ordered Quantity,Ordered_Quantity__c,Number,Identifies the Quantity Ordered,QuoteLineItem.Quantity,QuoteLineItem.Quantity,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Quantity,Quantity,Number,Identifies Order Item Quantity,QuoteLineItem.Quantity,QuoteLineItem.Quantity,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Activation Status,Status__c,Picklist,Identifies Order Item's Activation ,OrderItem.Status,OrderItem.Status,Should match the Order Item's Status,Record Creation or Record Update,,,,,,
OrderItem,OrderItem,Recipient Street,Recipient_Street__c,Text,Identifies Order Item Recipient Street,Order.Shipping Street,Order.Shipping_Street__c,Should match Order's Shipping Street,Record Creation Only,,,,,,
OrderItem,OrderItem,Recipient City,Recipient_City__c,Text,Identifies Order Item Recipient City,Order.Shipping City,Order.Shipping_City__c,Should match Order's Shipping City,Record Creation Only,,,,,,
OrderItem,OrderItem,Recipient State,Recipient_State__c,Text,Identifies Order Item Recipient State,Order.Shipping State,Order.Shipping_State__c,Should match Order's Shipping State,Record Creation Only,,,,,,
OrderItem,OrderItem,Recipient Zip Code,Recipient_Zip_Code__c,Text,Identifies Order Item Recipient Zip Code,Order.Shipping Postal Code,Order.Shipping_Postal_Code__c,Should match Order's Shipping Postal Code,Record Creation Only,,,,,,
OrderItem,OrderItem,Recipient Country,Recipient_Country__c,Text,Identifies Order Item Recipient Country,Order.Shipping Country,Order.Shipping_Country__c,Should match Order's Shipping Country,Record Creation Only,,,,,,
OrderItem,OrderItem,Recipient Name,Recipient_Name__c,Text,Identifies Order Item Recipient Name,Order.Quote Ship To Name,Order.Quote_ShippingName__c,Should match Order's Quote Ship To Name,Record Creation Only,,,,,,
OrderItem,OrderItem,Billing Date,Billing_Date__c,Date,Carries over Quote Line Item Billing Date,QuoteLineItem.Billing Date,QuoteLineItem.Billing_Date__c,Should match Quote Line's Billing Date,Record Creation Only,,,,,,
